filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20230311_020006,1,48,FALSE,,
SWIFT01_20230311_020006,1,23,FALSE,,
SWIFT01_20230311_020006,1,7,FALSE,,
SWIFT01_20230311_080021,0,30,FALSE,,
SWIFT01_20230311_080021,0,24,FALSE,,
SWIFT01_20230311_080021,0,34,FALSE,,
SWIFT01_20230311_080021,0,40,FALSE,,
SWIFT01_20230311_080021,1,45,FALSE,,
SWIFT01_20230311_080021,1,47,FALSE,,
SWIFT01_20230311_080021,1,18,FALSE,,
SWIFT01_20230311_080021,1,25,TRUE,,
SWIFT01_20230311_100027,0,45,FALSE,,
SWIFT01_20230311_100027,0,49,FALSE,,
SWIFT01_20230311_100027,0,1,FALSE,,
